arm,seed,split,failure_counts,episodes,success_rate,feasible_success_rate,failure_distance_mean_m,successful_time_s,successful_path_m,successful_energy_proxy_j,successful_handovers,successful_outage_s,successful_dropped_bits,successful_delay_proxy_mean_s,successful_interference_mean_w,successful_sinr_mean_db,successful_sinr_p05_db,successful_radio_cost_sum,successful_radio_cost_mean,successful_resource_changes,successful_final_buffer_bits
arrival,2103,longer_test,"{'connectivity': 25, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.875,0.875,612.6537716674804,61.074285714285715,1376.8255266462054,19343.120775669642,20.645714285714284,0.0,0.0,1.859092901230222,7.807869867537455e-07,-8.32378320149013,-16.82168498447963,15.980893208027977,0.2631891510077964,38.65714285714286,24840.89857142857
arrival,2104,longer_test,"{'connectivity': 25, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.875,0.875,650.5544343566894,61.44571428571429,1376.6089076450892,19314.048783482143,22.97142857142857,0.0,0.0,1.717618619458997,7.784960253609759e-07,-8.093120332445418,-16.726569491795132,16.412836765339215,0.26744902098121215,40.59428571428571,12288.127321428572
arrival,2105,longer_test,"{'connectivity': 32, 'buffer': 1, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.835,0.835,658.271824576638,61.64071856287425,1373.1773305196248,19242.290465943115,17.191616766467067,0.0,0.0,1.9921816512613657,7.853953586270131e-07,-8.524841454214679,-16.709793353509045,15.312133883249839,0.24919720431516623,31.143712574850298,38497.96617702096
full,2101,longer_test,"{'connectivity': 16, 'buffer': 6, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.89,0.89,691.8887894370339,61.31460674157304,1381.2545032286912,19397.91828146945,1.5280898876404494,0.0,0.0,6.4921327320088205,7.761242140661345e-07,-9.871059323964493,-19.133819569362682,13.940092938046337,0.2274515521651643,14.48314606741573,384619.5998946629
full,2102,longer_test,"{'connectivity': 15, 'buffer': 3, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.91,0.91,598.5045975579155,61.285714285714285,1378.2391394311255,19353.833340487636,1.4120879120879122,0.0,0.0,6.368247216666833,7.729518013401726e-07,-9.796807999139304,-19.078209808894567,13.593576267895154,0.22145971472869738,11.406593406593407,326534.53541380493
full,2103,longer_test,"{'connectivity': 14, 'buffer': 9, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.885,0.885,674.5642905857252,60.909604519774014,1375.5291296317753,19332.081965042373,1.4180790960451977,0.0,0.0,6.364602139025303,7.709671075817884e-07,-9.808025257735602,-18.983847133183883,13.688688024044064,0.22479206810685312,25.01129943502825,325412.64358227403
full,2104,longer_test,"{'connectivity': 15, 'buffer': 7, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.89,0.89,627.7828904932195,61.58426966292135,1383.5272823719497,19421.478038316363,1.702247191011236,0.0,0.0,6.625912254589144,7.655034452234856e-07,-9.818862791811481,-19.16097591700179,13.808898871640277,0.2240341658941597,6.848314606741573,361180.1918451545
full,2105,longer_test,"{'connectivity': 17, 'buffer': 1, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.91,0.91,747.4439493815104,61.14835164835165,1373.2147890866459,19281.27021269746,1.5054945054945055,0.0,0.0,6.796422868295502,7.907627639326853e-07,-10.00730967259669,-19.265283563634853,14.228601750561623,0.23220265546689303,13.835164835164836,377985.9437671703
straight_rss,,longer_test,"{'connectivity': 26, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.87,0.87,790.1616546924298,61.37356321839081,1385.5616269166442,19468.200369297774,22.25862068965517,0.0,0.0,1.6212610079542134,7.691541088599514e-07,-7.9353330683434145,-17.042349946909937,15.56554315694248,0.2555904392335009,22.316091954022987,10115.896461925287
straight_radio,,longer_test,"{'connectivity': 15, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.925,0.925,822.1340169270833,61.12972972972973,1379.6004833324535,19384.873843961148,2.518918918918919,0.0,0.0,1.7988600631379048,6.004459347837175e-07,-7.897572022515374,-15.539413359358504,9.164080296672642,0.15007450311274884,26.82702702702703,140299.2225929054
joint_mpc,,longer_test,"{'connectivity': 20, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.9,0.9,724.8704480171203,63.772222222222226,1406.5496948242187,19721.50921766493,2.077777777777778,0.0,0.0,0.980220683536731,5.95722941768145e-07,-7.52950217988756,-13.744499323103163,7.277404177144983,0.11404846675931096,27.288888888888888,120921.41922743055
joint_lookahead,,longer_test,"{'connectivity': 7, 'buffer': 0, 'timeout': 12, 'energy': 0, 'boundary': 0}",200,0.905,0.905,274.00599037973507,70.04972375690608,1439.3586789968922,20400.897930334944,2.0828729281767955,0.0,0.0,0.4725959965091049,5.847784948760958e-07,-6.700325792994947,-11.702955409308165,5.225926393941794,0.07596019595481451,28.22099447513812,84928.12310082873
