arm,seed,split,failure_counts,episodes,success_rate,feasible_success_rate,failure_distance_mean_m,successful_time_s,successful_path_m,successful_energy_proxy_j,successful_handovers,successful_outage_s,successful_dropped_bits,successful_delay_proxy_mean_s,successful_interference_mean_w,successful_sinr_mean_db,successful_sinr_p05_db,successful_radio_cost_sum,successful_radio_cost_mean,successful_resource_changes,successful_final_buffer_bits
full,2103,longer_test,"{'connectivity': 25, 'buffer': 4, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.855,0.855,725.5465148399616,60.345029239766085,1360.1812115942525,19121.029885096857,1.4736842105263157,0.0,0.0,6.777062271587602,7.757815562710899e-07,-9.899603750273497,-19.568317502562763,13.530989999209192,0.2230686512846836,24.906432748538013,324037.97820723685
full,2104,longer_test,"{'connectivity': 24, 'buffer': 1, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.875,0.875,804.4873851776123,60.52571428571429,1357.1735131835937,19053.519012276785,1.6342857142857143,0.0,0.0,6.8576536398468955,7.816712993027387e-07,-9.878329857417516,-19.586346789768765,13.682642437459643,0.2256636481583241,6.085714285714285,330718.2194642857
full,2105,longer_test,"{'connectivity': 18, 'buffer': 3, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.895,0.895,734.424438839867,60.927374301675975,1365.6495542046744,19172.705509121857,1.5027932960893855,0.0,0.0,7.056276465126036,7.926709561446064e-07,-9.906482832391834,-19.558313257867397,13.769814912710803,0.22510360967108906,14.262569832402235,347397.9059881285
arrival,2101,longer_test,"{'connectivity': 32, 'buffer': 0, 'timeout': 1, 'energy': 0, 'boundary': 0}",200,0.835,0.835,724.164179686344,60.52095808383233,1351.2403922623503,18960.576937921032,20.089820359281436,0.0,0.0,1.9114199793872064,7.888873897735312e-07,-8.52079181328505,-16.82747432000623,16.489670838387486,0.27130990316787146,33.365269461077844,32219.505613772457
arrival,2102,longer_test,"{'connectivity': 30, 'buffer': 0, 'timeout': 1, 'energy': 0, 'boundary': 0}",200,0.845,0.845,794.7133936728201,60.80473372781065,1349.3848551913832,18877.324906388683,23.633136094674555,0.0,0.0,1.8059101878438015,7.780165537011742e-07,-8.21932917656983,-16.935951334484937,17.112651871677166,0.2807509632098786,40.98224852071006,24714.163553994083
arrival,2103,longer_test,"{'connectivity': 27, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.865,0.865,763.1242944046303,60.29479768786127,1356.2231381807712,19056.087670475074,20.028901734104046,0.0,0.0,1.8060795935444083,7.665661653689902e-07,-8.281090579280963,-16.60486840374897,15.761924496128467,0.26029612422915704,37.69364161849711,27837.75298049133
arrival,2104,longer_test,"{'connectivity': 35, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.825,0.825,760.9025246620179,60.4,1350.5693917939157,18948.323668323865,22.696969696969695,0.0,0.0,1.7039305413018844,7.828622651770845e-07,-8.144623137965347,-16.841836085464013,16.568856774183775,0.2730174557677264,39.11515151515152,24020.903409090908
arrival,2105,longer_test,"{'connectivity': 23, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.885,0.885,668.376158113065,60.943502824858754,1358.3882042836335,19035.260444253177,16.36723163841808,0.0,0.0,1.92751593236105,7.777583682536907e-07,-8.527233861933993,-16.747815105201163,14.92417162160071,0.24385038191785197,29.531073446327685,34664.73344809322
straight_rss,,longer_test,"{'connectivity': 31, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.845,0.845,737.3170281840909,60.06508875739645,1351.6491316394693,18997.698756471895,21.28994082840237,0.0,0.0,1.507424854484816,7.641905786613996e-07,-7.882192419830864,-16.8827258059259,15.056835870786932,0.2498655060692547,21.449704142011836,9380.969397189348
straight_radio,,longer_test,"{'connectivity': 21, 'buffer': 2, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.885,0.885,808.8490965470024,60.33898305084746,1358.542978405279,19094.265950520832,2.6610169491525424,0.0,0.0,1.6991126427241672,6.004202593539257e-07,-7.946466634502519,-15.662934192829887,9.048537858299884,0.14935352993121107,26.09039548022599,156000.87213100283
joint_mpc,,longer_test,"{'connectivity': 18, 'buffer': 0, 'timeout': 1, 'energy': 0, 'boundary': 0}",200,0.905,0.905,832.0744509445993,62.04419889502763,1369.991247693478,19219.63618460808,2.3480662983425415,0.0,0.0,1.064910731290419,5.966117521684856e-07,-7.43233285687905,-13.873984018083435,6.873409647963884,0.1105116431076404,26.712707182320443,125076.86174896409
joint_lookahead,,longer_test,"{'connectivity': 11, 'buffer': 0, 'timeout': 8, 'energy': 0, 'boundary': 0}",200,0.905,0.905,552.089152135347,70.13812154696133,1420.076556632532,20172.475148912294,2.3370165745856353,0.0,0.0,0.4158932552729486,5.910178104957045e-07,-6.6483280922167864,-11.653535239604297,4.890562605756899,0.07122894680747571,28.099447513812155,89629.66656595304
